daily_screen_time_min,num_app_switches,sleep_hours,notification_count,social_media_time_min,focus_score,mood_score,anxiety_level,digital_wellbeing_score
404.4,64,6.9,73,101.9,7.3,8.2,3.7,70.8
296.8,59,6.1,71,93.4,7.3,7.7,5.0,65.0
440.0,43,6.5,130,137.4,6.7,8.0,5.5,59.5
455.2,35,7.8,100,130.1,7.0,6.2,3.5,71.1
223.9,20,7.0,84,63.8,8.8,8.0,3.0,83.3
275.8,45,7.4,105,164.9,7.7,7.3,5.2,65.4
390.2,74,7.8,27,116.2,8.8,6.8,2.9,77.3
354.7,54,6.6,89,75.6,7.3,8.0,4.3,68.0
378.7,44,7.9,150,167.6,7.1,7.1,5.0,62.4
311.8,55,7.5,94,145.0,6.8,8.0,3.1,74.1
450.4,34,5.5,92,69.4,5.8,7.9,5.5,53.2
442.2,47,8.7,106,191.1,7.9,7.5,2.7,79.1
385.3,51,6.4,117,146.4,6.3,6.3,4.7,57.6
470.2,49,5.0,30,119.6,6.9,6.4,6.1,52.9
417.4,58,5.7,40,183.6,6.3,7.1,5.4,53.6
311.3,53,5.8,96,126.4,6.1,6.2,4.9,53.0
409.5,57,7.1,69,118.9,6.9,6.8,4.6,65.0
303.3,43,6.7,129,93.6,8.0,8.1,3.8,74.2
450.3,59,6.6,81,143.3,6.7,7.0,4.8,58.4
376.0,66,7.7,32,139.1,6.0,6.1,4.6,59.2
365.2,40,7.4,52,120.6,7.1,6.8,3.2,69.5
325.5,41,7.4,10,88.4,9.4,9.5,2.2,90.2
477.8,63,7.5,83,125.2,6.4,7.4,4.2,60.4
367.6,48,7.7,84,117.2,5.7,6.8,3.0,61.9
345.7,64,4.5,77,66.7,8.0,6.5,4.1,58.6
351.8,46,6.6,122,61.1,7.4,7.2,5.4,59.2
422.6,65,4.4,126,142.6,5.2,5.9,7.0,34.6
409.2,51,7.0,85,20.0,7.0,6.5,2.9,70.0
413.0,53,7.0,26,128.2,8.0,7.0,2.5,73.6
414.5,66,8.3,109,100.9,6.6,7.8,3.8,70.2
551.3,46,8.4,107,172.3,7.1,7.2,5.8,58.9
347.5,41,7.2,99,100.3,7.5,7.9,3.6,70.8
339.0,46,6.4,119,146.4,6.5,5.9,6.2,52.5
314.9,55,7.6,55,104.1,7.7,8.2,3.4,77.2
429.3,34,6.4,150,124.5,5.7,7.1,5.9,49.1
470.3,56,7.0,61,149.5,7.3,7.4,3.3,69.1
370.9,45,8.2,112,101.5,6.5,7.7,4.6,71.3
312.8,61,6.3,39,159.9,5.7,6.8,4.4,56.6
314.0,26,8.0,62,80.3,8.3,7.7,3.5,76.6
432.0,42,7.8,135,131.8,6.9,7.2,3.8,67.1
439.5,33,5.9,82,156.9,6.4,7.2,5.4,54.1
423.5,42,8.2,115,146.4,7.0,7.4,4.4,66.8
326.8,52,7.8,97,196.7,6.5,6.8,4.3,63.9
398.6,48,7.1,87,89.5,7.6,7.1,4.3,63.9
389.3,47,6.1,131,64.8,6.4,6.8,4.7,54.8
397.5,48,6.0,83,80.2,6.3,6.5,4.4,56.2
449.7,52,6.4,37,146.4,6.3,7.1,6.0,52.3
397.9,40,7.7,66,139.9,8.6,8.2,4.2,74.4
434.3,57,5.9,107,124.1,4.6,6.6,5.2,45.7
385.4,57,7.5,102,75.1,7.5,8.6,4.0,73.3
403.1,54,5.5,43,150.7,5.0,6.9,4.8,51.0
430.5,56,6.8,68,71.0,6.9,6.5,3.3,64.7
263.4,53,7.1,73,166.4,6.8,6.8,4.9,62.7
354.4,70,9.9,79,234.3,5.6,8.0,2.2,75.2
342.4,49,5.3,49,134.7,6.9,6.4,5.6,54.1
328.9,47,8.8,71,143.3,7.3,7.4,3.0,77.4
358.0,42,7.2,68,100.3,5.5,6.9,4.2,61.3
499.6,40,7.5,113,47.6,7.4,7.0,4.4,67.4
310.7,38,7.1,114,95.9,8.2,7.2,4.2,72.3
457.5,41,7.5,86,76.3,8.1,7.4,3.0,75.2
245.4,49,6.8,78,62.1,8.0,8.7,3.6,76.5
353.2,53,8.7,94,188.9,7.1,8.0,3.7,76.2
393.0,51,6.5,66,130.9,7.7,8.9,2.9,73.2
426.9,42,8.4,56,135.2,8.6,8.2,2.9,80.7
436.9,59,6.2,62,107.6,7.5,6.8,5.6,58.6
443.5,57,6.9,71,113.1,5.9,6.9,6.0,53.7
352.1,48,5.7,55,158.6,6.7,6.8,5.4,52.6
343.0,43,7.5,95,118.7,7.4,7.9,2.7,75.4
448.6,55,8.7,112,141.2,5.4,8.8,4.5,65.2
364.7,52,6.9,42,112.2,7.6,7.0,4.4,61.1
277.9,36,6.8,91,106.3,9.0,8.4,3.8,77.1
289.3,49,5.7,83,63.7,7.6,7.3,4.7,62.6
306.4,53,6.7,100,40.9,8.6,6.7,3.8,71.3
419.8,41,5.1,90,109.5,6.2,6.7,5.5,52.8
391.4,52,5.9,46,122.3,6.6,7.7,4.0,59.2
435.2,35,7.3,52,68.6,7.6,7.0,2.1,72.9
345.8,63,8.6,91,118.6,6.8,8.0,3.6,67.4
392.7,62,10.0,121,122.2,6.7,7.2,3.4,74.1
430.0,47,6.3,24,33.8,8.4,6.7,4.0,67.4
355.3,54,8.7,100,83.4,8.7,9.2,1.4,91.1
416.5,26,7.3,126,136.3,5.6,6.5,5.6,54.8
327.0,38,6.8,85,135.5,7.6,6.6,5.8,62.1
351.0,47,7.5,107,73.9,7.1,7.8,3.7,70.8
349.5,39,7.1,69,126.3,7.3,7.1,3.9,66.7
284.3,57,7.1,86,160.9,7.4,7.2,4.2,69.3
419.0,70,6.5,41,151.1,7.5,7.6,5.8,60.0
342.4,38,5.3,20,116.2,7.0,6.0,3.8,57.2
381.0,42,5.1,118,101.3,7.1,5.7,5.6,47.5
418.5,52,7.8,60,94.8,7.5,7.9,2.8,75.0
415.7,66,6.7,76,138.7,7.0,7.7,4.0,67.0
433.2,38,6.3,48,127.8,5.9,7.6,4.7,62.2
372.1,52,7.0,48,145.2,8.7,7.2,4.7,70.4
346.1,68,8.0,85,125.3,7.6,8.5,4.7,70.2
373.6,33,7.2,68,152.8,7.4,6.9,4.5,62.7
245.0,37,6.2,101,123.8,5.6,8.2,4.2,61.9
264.2,46,8.5,104,151.4,6.8,7.2,5.6,60.6
274.2,45,8.9,100,154.8,8.6,9.4,2.2,91.5
300.2,58,7.6,97,87.8,7.7,7.4,3.0,77.0
412.0,52,8.2,137,47.7,5.6,8.8,2.5,73.8
307.6,32,8.5,58,181.7,8.3,8.7,3.9,79.0
349.7,55,8.4,88,130.3,6.9,7.2,4.4,69.1
483.9,44,7.7,124,51.4,7.9,7.2,5.8,64.6
351.5,63,7.7,128,91.4,6.9,8.1,2.7,72.8
439.0,44,7.6,47,150.9,7.1,8.2,5.0,70.2
305.3,44,5.7,81,108.8,7.7,7.0,4.4,62.5
363.6,55,7.8,131,99.5,6.2,7.4,4.8,64.3
304.0,58,5.4,105,176.0,5.3,6.6,4.4,45.7
352.9,54,6.0,96,78.1,6.6,7.0,5.8,57.7
447.2,33,8.6,83,88.1,8.0,7.2,3.9,77.1
241.8,55,8.0,78,128.5,6.7,7.4,3.4,71.3
414.8,40,8.8,99,135.6,5.8,7.8,4.5,66.5
399.0,52,6.7,82,139.9,7.2,7.9,3.7,68.9
332.5,36,5.6,89,156.4,5.8,7.5,4.7,53.5
264.3,54,6.7,92,127.9,6.8,7.9,3.7,68.7
385.8,42,7.1,70,139.6,5.4,7.2,3.2,60.2
337.6,37,7.1,106,109.6,6.4,7.7,4.9,60.5
398.6,57,8.4,177,122.5,6.5,6.9,5.5,63.3
381.7,52,6.6,37,124.3,7.8,7.3,3.3,72.1
508.1,44,7.4,100,128.6,5.7,6.2,5.4,51.0
360.9,65,5.8,67,150.9,7.8,6.0,4.5,58.7
298.1,46,7.5,107,142.2,6.5,7.7,4.3,64.2
394.3,50,7.0,91,121.8,6.2,7.1,4.1,63.2
397.6,53,6.1,113,87.6,7.6,7.4,3.8,64.3
488.7,44,6.7,125,122.7,6.1,6.9,6.1,52.4
446.8,55,6.8,96,118.9,6.0,6.9,4.9,57.7
408.5,45,6.7,124,127.7,6.1,7.1,6.7,50.6
497.1,46,9.1,20,208.3,8.2,8.1,3.2,82.4
284.9,64,6.9,138,99.0,8.0,7.8,3.1,74.0
328.8,40,6.7,101,136.9,6.0,6.4,5.8,52.4
305.9,26,4.5,122,162.7,5.6,6.0,6.7,38.2
